vpId,seqs,ratings,count,sum,avgRatings,max,ratios,countRatios,sumRatios,avgRatios,maxRatios,,vpId,,avgRatios
78,"[[156, 25, 61, 78, 95, 19], [8, 78, 67, 158, 24, 64], [78, 8, 93, 61, 143, 41], [60, 78, 8, 93, 30, 138], [46, 31, 65, 1, 78, 143]]","[0, 69, 37, 47, 4]",5,157,31.4,69,"[0.0, 0.8414634146341463, 0.4157303370786517, 0.5164835164835165, 0.043010752688172046]",5,1.816688021,0.363337604,0.841463415,,78,36.33376042,0.363337604
79,"[[91, 38, 79, 88, 156, 19], [53, 1, 28, 79, 100, 152]]","[90, 50]",2,140,70,90,"[0.9090909090909091, 0.5747126436781609]",2,1.483803553,0.741901776,0.909090909,,79,74.19017764,0.741901776
80,"[[25, 61, 152, 91, 80, 17], [80, 99, 121, 48, 33, 14], [103, 23, 134, 10, 80, 59], [14, 37, 20, 104, 80, 138], [80, 150, 66, 94, 17, 33]]","[25, 36, 17, 76, 67]",5,221,44.2,76,"[0.27472527472527475, 0.4090909090909091, 0.18681318681318682, 1.0, 0.5775862068965517]",5,2.448215578,0.489643116,1,,80,48.96431155,0.489643116
81,"[[14, 51, 143, 81, 27, 20], [136, 40, 81, 17, 101, 51], [4, 81, 35, 153, 104, 51], [51, 17, 81, 27, 133, 101], [1, 96, 129, 57, 44, 81], [152, 86, 6, 81, 98, 28], [35, 6, 88, 89, 81, 142]]","[75, 33, 63, 23, 42, 18, 81]",7,335,47.85714286,81,"[0.8823529411764706, 0.3793103448275862, 0.5779816513761468, 0.27058823529411763, 0.46153846153846156, 0.16981132075471697, 0.9642857142857143]",7,3.705868669,0.52940981,0.964285714,,81,52.94098099,0.52940981
82,"[[5, 143, 103, 72, 42, 82], [98, 126, 43, 82, 18, 55], [75, 98, 41, 145, 82, 59], [27, 2, 82, 75, 137, 102], [131, 58, 97, 15, 82, 39]]","[70, 71, 86, 0, 54]",5,281,56.2,86,"[0.6666666666666666, 0.7029702970297029, 1.0, 0.0, 0.675]",5,3.044636964,0.608927393,1,,82,60.89273927,0.608927393
83,"[[94, 65, 129, 20, 83, 43], [101, 83, 36, 127, 52, 13], [21, 140, 83, 65, 14, 26], [5, 31, 77, 20, 83, 123], [65, 144, 7, 78, 83, 36]]","[70, 84, 33, 72, 89]",5,348,69.6,89,"[0.7291666666666666, 1.0, 0.36666666666666664, 0.8181818181818182, 0.956989247311828]",5,3.871004399,0.77420088,1,,83,77.42008798,0.77420088
84,"[[141, 12, 84, 100, 45, 48], [44, 74, 53, 84, 127, 98], [37, 136, 17, 77, 84, 52], [135, 16, 84, 95, 26, 58]]","[54, 12, 55, 75]",4,196,49,75,"[0.5192307692307693, 0.13953488372093023, 0.5339805825242718, 0.8426966292134831]",4,2.035442865,0.508860716,0.842696629,,84,50.88607162,0.508860716
85,"[[27, 145, 85, 99, 51, 8], [157, 29, 66, 85, 22, 74], [66, 15, 126, 30, 85, 68], [85, 3, 30, 154, 60, 90], [126, 67, 41, 18, 100, 85]]","[54, 50, 41, 75, 93]",5,313,62.6,93,"[0.6206896551724138, 0.5263157894736842, 0.5324675324675324, 0.9868421052631579, 1.0]",5,3.666315082,0.733263016,1,,85,73.32630165,0.733263016
86,"[[73, 29, 86, 10, 63, 136], [86, 77, 11, 134, 26, 20], [46, 45, 56, 86, 148, 16], [86, 124, 60, 48, 39, 21], [21, 16, 28, 94, 153, 86], [86, 28, 94, 11, 62, 124]]","[24, 58, 45, 89, 92, 49]",6,357,59.5,92,"[0.2727272727272727, 0.6444444444444445, 0.5421686746987951, 1.0, 0.8679245283018868, 0.4224137931034483]",6,3.749678713,0.624946452,1,,86,62.49464522,0.624946452
87,"[[49, 87, 13, 52, 149, 33], [125, 73, 53, 1, 87, 41], [87, 143, 58, 26, 68, 12], [31, 95, 64, 16, 137, 87], [59, 100, 152, 18, 87, 45], [30, 87, 141, 100, 18, 54]]","[65, 78, 39, 13, 41, 29]",6,265,44.16666667,78,"[0.8125, 0.7027027027027027, 0.4482758620689655, 0.1262135922330097, 0.4606741573033708, 0.2636363636363636]",6,2.814002678,0.469000446,0.8125,,87,46.90004463,0.469000446
88,"[[96, 74, 44, 59, 151, 88], [101, 51, 42, 150, 88, 16], [91, 38, 79, 88, 156, 19], [96, 88, 35, 71, 4, 146], [63, 140, 40, 88, 5, 69], [7, 88, 91, 79, 144, 34], [35, 6, 88, 89, 81, 142]]","[60, 54, 28, 28, 91, 13, 26]",7,300,42.85714286,91,"[0.5263157894736842, 0.6067415730337079, 0.3111111111111111, 0.32558139534883723, 1.0, 0.14772727272727273, 0.2765957446808511]",7,3.194072886,0.456296127,1,,88,45.62961266,0.456296127
89,"[[23, 14, 70, 133, 56, 89], [123, 80, 7, 89, 56, 34], [3, 154, 89, 61, 20, 23], [37, 9, 134, 65, 76, 89], [35, 6, 88, 89, 81, 142]]","[0, 67, 16, 81, 88]",5,252,50.4,88,"[0.0, 0.6836734693877551, 0.1839080459770115, 0.75, 0.8301886792452831]",5,2.447770195,0.489554039,0.830188679,,89,48.95540389,0.489554039
90,"[[10, 132, 71, 58, 85, 90], [90, 15, 57, 131, 31, 76], [76, 23, 55, 152, 4, 90], [85, 3, 30, 154, 60, 90], [3, 64, 73, 90, 24, 128], [25, 85, 19, 18, 122, 90]]","[42, 35, 69, 2, 64, 16]",6,228,38,69,"[0.4883720930232558, 0.43209876543209874, 0.7419354838709677, 0.021739130434782608, 0.8421052631578947, 0.1839080459770115]",6,2.710158782,0.45169313,0.842105263,,90,45.16931303,0.45169313
91,"[[25, 61, 152, 91, 80, 17], [91, 38, 79, 88, 156, 19], [75, 151, 16, 64, 41, 91]]","[87, 80, 14]",3,181,60.33333333,87,"[1.0, 0.8247422680412371, 0.15555555555555556]",3,1.980297824,0.660099275,1,,91,66.00992745,0.660099275
92,"[[11, 21, 92, 122, 25, 62], [32, 92, 61, 145, 5, 49], [2, 125, 49, 38, 73, 92]]","[81, 0, 45]",3,126,42,81,"[0.9878048780487805, 0.0, 0.5357142857142857]",3,1.523519164,0.507839721,0.987804878,,92,50.78397213,0.507839721
93,"[[57, 25, 128, 2, 47, 93], [93, 75, 133, 32, 63, 5], [38, 93, 61, 47, 7, 123], [77, 10, 44, 50, 129, 93], [78, 8, 93, 61, 143, 41], [60, 78, 8, 93, 30, 138]]","[0, 0, 38, 49, 71, 36]",6,194,32.33333333,71,"[0.0, 0.0, 0.4523809523809524, 0.5384615384615384, 0.9342105263157895, 0.4235294117647059]",6,2.348582429,0.391430405,0.934210526,,93,39.14304048,0.391430405
94,"[[94, 77, 59, 31, 6, 125], [15, 36, 94, 73, 66, 140], [94, 65, 129, 20, 83, 43], [21, 16, 28, 94, 153, 86], [86, 28, 94, 11, 62, 124]]","[24, 0, 32, 47, 87]",5,190,38,87,"[0.25806451612903225, 0.0, 0.35555555555555557, 0.5108695652173914, 1.0]",5,2.124489637,0.424897927,1,,94,42.48979274,0.424897927
95,"[[156, 25, 61, 78, 95, 19], [95, 13, 49, 66, 34, 147], [31, 95, 64, 16, 137, 87], [135, 16, 84, 95, 26, 58]]","[66, 0, 32, 65]",4,163,40.75,66,"[0.7252747252747253, 0.0, 0.32989690721649484, 0.5963302752293578]",4,1.651501908,0.412875477,0.725274725,,95,41.28754769,0.412875477
96,"[[96, 74, 44, 59, 151, 88], [96, 60, 147, 83, 34, 76], [96, 88, 35, 71, 4, 146], [19, 73, 50, 96, 10, 148], [1, 96, 129, 57, 44, 81], [96, 36, 7, 55, 147, 46]]","[64, 49, 10, 33, 48, 58]",6,262,43.66666667,64,"[0.6881720430107527, 0.5833333333333334, 0.10869565217391304, 0.3548387096774194, 0.4897959183673469, 0.5686274509803921]",6,2.793463108,0.465577185,0.688172043,,96,46.55771846,0.465577185
97,"[[9, 97, 59, 46, 142, 23], [131, 58, 97, 15, 82, 39]]","[60, 36]",2,96,48,60,"[0.6741573033707865, 0.47368421052631576]",2,1.147841514,0.573920757,0.674157303,,97,57.39207569,0.573920757
98,"[[44, 74, 53, 84, 127, 98], [98, 126, 43, 82, 18, 55], [75, 98, 41, 145, 82, 59], [9, 98, 29, 72, 59, 135], [152, 86, 6, 81, 98, 28]]","[41, 52, 61, 40, 3]",5,197,39.4,61,"[0.44086021505376344, 0.5909090909090909, 0.6559139784946236, 0.4444444444444444, 0.03571428571428571]",5,2.167842015,0.433568403,0.655913978,,98,43.35684029,0.433568403
99,"[[27, 145, 85, 99, 51, 8], [80, 99, 121, 48, 33, 14], [156, 60, 99, 17, 75, 42], [15, 63, 154, 99, 29, 76]]","[78, 18, 76, 82]",4,254,63.5,82,"[0.7572815533980582, 0.21428571428571427, 1.0, 0.82]",4,2.791567268,0.697891817,1,,99,69.78918169,0.697891817
100,"[[141, 12, 84, 100, 45, 48], [40, 49, 100, 152, 12, 53], [53, 1, 28, 79, 100, 152], [59, 100, 152, 18, 87, 45], [30, 87, 141, 100, 18, 54], [126, 67, 41, 18, 100, 85], [23, 1, 100, 139, 49, 52]]","[74, 27, 33, 46, 72, 17, 66]",7,335,47.85714286,74,"[0.8604651162790697, 0.35064935064935066, 0.2972972972972973, 0.4742268041237113, 0.631578947368421, 0.1827956989247312, 0.8571428571428571]",7,3.654156072,0.522022296,0.860465116,,100,52.2022296,0.522022296
101,"[[101, 51, 42, 150, 88, 16], [136, 40, 81, 17, 101, 51], [51, 17, 81, 27, 133, 101], [12, 40, 141, 65, 70, 101], [25, 57, 101, 84, 71, 127], [27, 15, 70, 58, 101, 151]]","[71, 75, 62, 0, 87, 26]",6,321,53.5,87,"[0.8068181818181818, 0.974025974025974, 0.5961538461538461, 0.0, 0.87, 0.325]",6,3.571998002,0.595333,0.974025974,,101,59.53330003,0.595333
102,"[[13, 102, 30, 19, 147, 65], [42, 102, 62, 74, 8, 156], [130, 47, 22, 102, 40, 13], [27, 2, 82, 75, 137, 102]]","[75, 93, 17, 92]",4,277,69.25,93,"[0.7575757575757576, 1.0, 0.16037735849056603, 0.9787234042553191]",4,2.89667652,0.72416913,1,,102,72.41691301,0.72416913
103,"[[66, 140, 103, 32, 74, 1], [5, 143, 103, 72, 42, 82], [103, 23, 134, 10, 80, 59], [43, 103, 4, 70, 158, 53]]","[13, 70, 48, 59]",4,190,47.5,70,"[0.14606741573033707, 0.8235294117647058, 0.5517241379310345, 0.6555555555555556]",4,2.176876521,0.54421913,0.823529412,,103,54.42191302,0.54421913
104,"[[49, 104, 4, 132, 52, 39], [30, 74, 135, 47, 104, 14], [104, 142, 69, 2, 63, 38], [74, 133, 51, 10, 36, 104], [76, 104, 35, 9, 132, 56]]","[5, 49, 67, 0, 77]",5,198,39.6,77,"[0.05434782608695652, 0.48514851485148514, 0.7052631578947368, 0.0, 0.77]",5,2.014759499,0.4029519,0.77,,104,40.29518998,0.4029519
121,"[[80, 99, 121, 48, 33, 14]]",[72],1,72,72,72,[0.782608695652174],1,0.782608696,0.782608696,0.782608696,,121,78.26086957,0.782608696
122,"[[11, 21, 92, 122, 25, 62], [25, 85, 19, 18, 122, 90]]","[38, 8]",2,46,23,38,"[0.4578313253012048, 0.08080808080808081]",2,0.538639406,0.269319703,0.457831325,,122,26.93197031,0.269319703
123,"[[38, 93, 61, 47, 7, 123], [5, 31, 77, 20, 83, 123]]","[0, 61]",2,61,30.5,61,"[0.0, 0.7261904761904762]",2,0.726190476,0.363095238,0.726190476,,123,36.30952381,0.363095238
124,"[[21, 29, 18, 78, 102, 124], [86, 124, 60, 48, 39, 21]]","[73, 34]",2,107,53.5,73,"[1.0, 0.4788732394366197]",2,1.478873239,0.73943662,1,,124,73.94366197,0.73943662
125,"[[94, 77, 59, 31, 6, 125], [125, 60, 39, 10, 102, 79], [125, 73, 53, 1, 87, 41], [2, 125, 49, 38, 73, 92]]","[75, 36, 33, 76]",4,220,55,76,"[0.9493670886075949, 0.45569620253164556, 0.35106382978723405, 1.0]",4,2.756127121,0.68903178,1,,125,68.90317802,0.68903178
126,"[[98, 126, 43, 82, 18, 55], [66, 15, 126, 30, 85, 68]]","[66, 0]",2,66,33,66,"[0.7857142857142857, 0.0]",2,0.785714286,0.392857143,0.785714286,,126,39.28571429,0.392857143
127,"[[44, 74, 53, 84, 127, 98], [101, 83, 36, 127, 52, 13]]","[0, 91]",2,91,45.5,91,"[0.0, 1.0]",2,1,0.5,1,,127,50,0.5
128,"[[57, 25, 128, 2, 47, 93], [3, 64, 73, 90, 24, 128]]","[74, 71]",2,145,72.5,74,"[0.8409090909090909, 0.8160919540229885]",2,1.657001045,0.828500522,0.840909091,,128,82.85005225,0.828500522
129,"[[94, 65, 129, 20, 83, 43], [1, 96, 129, 57, 44, 81]]","[26, 0]",2,26,13,26,"[0.2988505747126437, 0.0]",2,0.298850575,0.149425287,0.298850575,,129,14.94252874,0.149425287
130,"[[130, 47, 22, 102, 40, 13]]",[52],1,52,52,52,[0.5842696629213483],1,0.584269663,0.584269663,0.584269663,,130,58.42696629,0.584269663
132,"[[49, 104, 4, 132, 52, 39], [132, 53, 70, 33, 4, 103], [76, 104, 35, 9, 132, 56]]","[87, 41, 29]",3,157,52.33333333,87,"[1.0, 0.45054945054945056, 0.2871287128712871]",3,1.737678163,0.579226054,1,,132,57.92260545,0.579226054
133,"[[23, 14, 70, 133, 56, 89], [93, 75, 133, 32, 63, 5], [74, 133, 51, 10, 36, 104]]","[10, 36, 53]",3,99,33,53,"[0.11764705882352941, 0.5, 0.5463917525773195]",3,1.164038811,0.388012937,0.546391753,,133,38.80129371,0.388012937
134,"[[86, 77, 11, 134, 26, 20], [103, 23, 134, 10, 80, 59], [37, 9, 134, 65, 76, 89]]","[58, 60, 73]",3,191,63.66666667,73,"[0.6444444444444445, 0.6185567010309279, 0.8795180722891566]",3,2.142519218,0.714173073,0.879518072,,134,71.41730726,0.714173073
135,"[[30, 74, 135, 47, 104, 14], [135, 16, 84, 95, 26, 58], [9, 98, 29, 72, 59, 135]]","[14, 59, 27]",3,100,33.33333333,59,"[0.13861386138613863, 0.5514018691588785, 0.25]",3,0.940015731,0.313338577,0.551401869,,135,31.33385768,0.313338577
136,"[[73, 29, 86, 10, 63, 136], [136, 40, 81, 17, 101, 51], [37, 136, 17, 77, 84, 52]]","[9, 51, 48]",3,108,36,51,"[0.11842105263157894, 0.6219512195121951, 0.5052631578947369]",3,1.24563543,0.41521181,0.62195122,,136,41.521181,0.41521181
137,"[[69, 103, 32, 137, 3, 52], [31, 95, 64, 16, 137, 87], [27, 2, 82, 75, 137, 102]]","[14, 49, 93]",3,156,52,93,"[0.14, 0.5975609756097561, 1.0]",3,1.737560976,0.579186992,1,,137,57.91869919,0.579186992
138,"[[14, 37, 20, 104, 80, 138], [60, 78, 8, 93, 30, 138]]","[90, 70]",2,160,80,90,"[0.9574468085106383, 0.8536585365853658]",2,1.811105345,0.905552673,0.957446809,,138,90.55526725,0.905552673
140,"[[66, 140, 103, 32, 74, 1], [15, 36, 94, 73, 66, 140], [63, 140, 40, 88, 5, 69], [21, 140, 83, 65, 14, 26]]","[49, 0, 70, 14]",4,133,33.25,70,"[0.5568181818181818, 0.0, 0.7526881720430108, 0.1590909090909091]",4,1.468597263,0.367149316,0.752688172,,140,36.71493157,0.367149316
141,"[[141, 12, 84, 100, 45, 48], [12, 40, 141, 65, 70, 101], [30, 87, 141, 100, 18, 54]]","[48, 41, 55]",3,144,48,55,"[0.5393258426966292, 0.3504273504273504, 0.7534246575342466]",3,1.643177851,0.54772595,0.753424658,,141,54.77259502,0.54772595
142,"[[104, 142, 69, 2, 63, 38]]",[44],1,44,44,44,[0.5057471264367817],1,0.505747126,0.505747126,0.505747126,,142,50.57471264,0.505747126
143,"[[14, 51, 143, 81, 27, 20], [5, 143, 103, 72, 42, 82], [87, 143, 58, 26, 68, 12], [78, 8, 93, 61, 143, 41], [46, 31, 65, 1, 78, 143]]","[78, 28, 19, 10, 74]",5,209,41.8,78,"[0.7722772277227723, 0.3010752688172043, 0.2375, 0.12658227848101267, 0.7474747474747475]",5,2.184909523,0.436981904,0.772277228,,143,43.69819045,0.436981904
144,"[[144, 2, 96, 54, 50, 42]]",[63],1,63,63,63,[0.7159090909090909],1,0.715909091,0.715909091,0.715909091,,144,71.59090909,0.715909091
145,"[[27, 145, 85, 99, 51, 8], [75, 98, 41, 145, 82, 59], [32, 92, 61, 145, 5, 49]]","[63, 60, 86]",3,209,69.66666667,86,"[0.8289473684210527, 0.6451612903225806, 1.0]",3,2.474108659,0.824702886,1,,145,82.47028862,0.824702886
146,"[[96, 88, 35, 71, 4, 146], [146, 47, 7, 71, 60, 44]]","[23, 29]",2,52,26,29,"[0.2911392405063291, 0.32954545454545453]",2,0.620684695,0.310342348,0.329545455,,146,31.03423475,0.310342348
147,"[[95, 13, 49, 66, 34, 147]]",[41],1,41,41,41,[0.4880952380952381],1,0.488095238,0.488095238,0.488095238,,147,48.80952381,0.488095238
148,"[[46, 45, 56, 86, 148, 16], [19, 73, 50, 96, 10, 148]]","[55, 21]",2,76,38,55,"[0.5670103092783505, 0.2413793103448276]",2,0.80838962,0.40419481,0.567010309,,148,40.41948098,0.40419481
149,"[[49, 87, 13, 52, 149, 33]]",[76],1,76,76,76,[1.0],1,1,1,1,,149,100,1
150,"[[101, 51, 42, 150, 88, 16], [69, 54, 150, 9, 37, 97], [80, 150, 66, 94, 17, 33]]","[68, 48, 5]",3,121,40.33333333,68,"[0.6071428571428571, 0.48484848484848486, 0.053763440860215055]",3,1.145754783,0.381918261,0.607142857,,150,38.1918261,0.381918261
151,"[[96, 74, 44, 59, 151, 88], [75, 151, 16, 64, 41, 91]]","[46, 25]",2,71,35.5,46,"[0.45544554455445546, 0.27472527472527475]",2,0.730170819,0.36508541,0.455445545,,151,36.50854096,0.36508541
152,"[[25, 61, 152, 91, 80, 17], [53, 1, 28, 79, 100, 152], [76, 23, 55, 152, 4, 90]]","[73, 22, 69]",3,164,54.66666667,73,"[0.8390804597701149, 0.28205128205128205, 0.71875]",3,1.839881742,0.613293914,0.83908046,,152,61.32939139,0.613293914
153,"[[4, 81, 35, 153, 104, 51], [21, 16, 28, 94, 153, 86]]","[50, 5]",2,55,27.5,50,"[0.4807692307692308, 0.052083333333333336]",2,0.532852564,0.266426282,0.480769231,,153,26.64262821,0.266426282
154,"[[50, 60, 72, 39, 154, 67], [3, 154, 89, 61, 20, 23], [85, 3, 30, 154, 60, 90], [15, 63, 154, 99, 29, 76]]","[42, 22, 0, 0]",4,64,16,42,"[0.5121951219512195, 0.2391304347826087, 0.0, 0.0]",4,0.751325557,0.187831389,0.512195122,,154,18.78313892,0.187831389
155,"[[155, 95, 76, 55, 24, 3], [155, 72, 1, 67, 56, 43]]","[40, 1]",2,41,20.5,40,"[0.42105263157894735, 0.013888888888888888]",2,0.43494152,0.21747076,0.421052632,,155,21.74707602,0.21747076
156,"[[156, 25, 61, 78, 95, 19], [91, 38, 79, 88, 156, 19], [156, 60, 99, 17, 75, 42], [42, 102, 62, 74, 8, 156]]","[41, 82, 30, 86]",4,239,59.75,86,"[0.5061728395061729, 1.0, 0.35714285714285715, 0.8686868686868687]",4,2.732002565,0.683000641,1,,156,68.30006413,0.683000641
157,"[[63, 6, 22, 157, 77, 36], [157, 29, 66, 85, 22, 74]]","[70, 54]",2,124,62,70,"[0.6363636363636364, 0.5567010309278351]",2,1.193064667,0.596532334,0.636363636,,157,59.65323336,0.596532334
158,"[[8, 78, 67, 158, 24, 64]]",[15],1,15,15,15,[0.16129032258064516],1,0.161290323,0.161290323,0.161290323,,158,16.12903226,0.161290323
